Sprite, Number, Name, Type(s), HP, Atk, Def, SpA, SpD, Spe, Ability/Abilities, Color
<img src = "http://www.serebii.net/blackwhite/pokemon/229.png">,#229,Houndoom,Dark/Fire,75,90,50,110,80,95,Early-bird : The Pokemon awakens quickly from sleep./Flash-fire : It powers up Fire-type moves if it's hit by one./Unnerve : Makes the foe nervous and unable to eat Berries.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/230.png">,#230,Kingdra,Water/Dragon,75,95,95,95,95,85,Swift-swim : Boosts the Pokemon's Speed in rain./Sniper : Powers up moves if they become critical hits./Damp : Prevents the use of self-destructing moves.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/231.png">,#231,Phanpy,Ground,90,60,60,40,40,40,Pickup : The Pokemon may pick up items./Sand-veil : Boosts the Pokemon's evasion in a sandstorm.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/232.png">,#232,Donphan,Ground,90,120,120,60,60,50,Sturdy : It cannot be knocked out with one hit./Sand-veil : Boosts the Pokemon's evasion in a sandstorm.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/233.png">,#233,Porygon2,Normal,85,80,90,105,95,60,Trace : The Pokemon copies a foe's Ability./Download : Adjusts power according to a foe's defenses./Analytic : Boosts move power when the Pokemon moves last.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/234.png">,#234,Stantler,Normal,73,95,62,85,65,85,Intimidate : Lowers the foe's Attack stat./Frisk : The Pokemon can check a foe's held item./Sap-sipper : Boosts Attack when hit by a Grass-type move.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/235.png">,#235,Smeargle,Normal,55,20,35,20,45,75,Own-tempo : Prevents the Pokemon from becoming confused./Technician : Powers up the Pokemon's weaker moves./Moody : Raises one stat and lowers another.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/236.png">,#236,Tyrogue,Fighting,35,35,35,35,35,35,Guts : Boosts Attack if there is a status problem./Steadfast : Raises Speed each time the Pokemon flinches./Vital-spirit : Prevents the Pokemon from falling asleep.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/237.png">,#237,Hitmontop,Fighting,50,95,95,35,110,70,Intimidate : Lowers the foe's Attack stat./Technician : Powers up the Pokemon's weaker moves./Steadfast : Raises Speed each time the Pokemon flinches.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/238.png">,#238,Smoochum,Ice/Psychic,45,30,15,85,65,65,Oblivious : Prevents it from becoming infatuated./Forewarn : Determines what moves a foe has./Hydration : Heals status problems if it is raining.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/239.png">,#239,Elekid,Electric,45,63,37,65,55,95,Static : Contact with the Pokemon may cause paralysis./Vital-spirit : Prevents the Pokemon from falling asleep.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/240.png">,#240,Magby,Fire,45,75,37,70,55,83,Flame-body : Contact with the Pokemon may burn the attacker./Vital-spirit : Prevents the Pokemon from falling asleep.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/241.png">,#241,Miltank,Normal,95,80,105,40,70,100,Thick-fat : Ups resistance to Fire- and Ice-type moves./Scrappy : Enables moves to hit Ghost-type Pokemon./Sap-sipper : Boosts Attack when hit by a Grass-type move.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/242.png">,#242,Blissey,Normal,255,10,10,75,135,55,Natural-cure : All status problems heal when it switches out./Serene-grace : Boosts the likelihood of added effects appearing./Healer : May heal an ally's status conditions.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/243.png">,#243,Raikou,Electric,90,85,75,115,100,115,Pressure : The Pokemon raises the foe's PP usage./Volt-absorb : Restores HP if hit by an Electric-type move.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/244.png">,#244,Entei,Fire,115,115,85,90,75,100,Pressure : The Pokemon raises the foe's PP usage./Flash-fire : It powers up Fire-type moves if it's hit by one.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/245.png">,#245,Suicune,Water,100,75,115,90,115,85,Pressure : The Pokemon raises the foe's PP usage./Water-absorb : Restores HP if hit by a Water-type move.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/246.png">,#246,Larvitar,Rock/Ground,50,64,50,45,50,41,Guts : Boosts Attack if there is a status problem./Sand-veil : Boosts the Pokemon's evasion in a sandstorm.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/247.png">,#247,Pupitar,Rock/Ground,70,84,70,65,70,51,Shed-skin : The Pokemon may heal its own status problems./Shed-skin : The Pokemon may heal its own status problems.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/248.png">,#248,Tyranitar,Rock/Dark,100,134,110,95,100,61,Sand-stream : The Pokemon summons a sandstorm in battle./Unnerve : Makes the foe nervous and unable to eat Berries.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/249.png">,#249,Lugia,Psychic/Flying,106,90,130,90,154,110,Pressure : The Pokemon raises the foe's PP usage./Multiscale : Reduces damage when HP is full.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/250.png">,#250,Ho-oh,Fire/Flying,106,130,90,110,154,90,Pressure : The Pokemon raises the foe's PP usage./Regenerator : Restores a little HP when withdrawn from battle.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/251.png">,#251,Celebi,Psychic/Grass,100,100,100,100,100,100,Natural-cure : All status problems heal when it switches out.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/252.png">,#252,Treecko,Grass,40,45,35,65,55,70,Overgrow : Powers up Grass-type moves in a pinch./Unburden : Raises Speed if a held item is used.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/253.png">,#253,Grovyle,Grass,50,65,45,85,65,95,Overgrow : Powers up Grass-type moves in a pinch./Unburden : Raises Speed if a held item is used.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/254.png">,#254,Sceptile,Grass,70,85,65,105,85,120,Overgrow : Powers up Grass-type moves in a pinch./Unburden : Raises Speed if a held item is used.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/255.png">,#255,Torchic,Fire,45,60,40,70,50,45,Blaze : Powers up Fire-type moves in a pinch./Speed-boost : Its Speed stat is gradually boosted.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/256.png">,#256,Combusken,Fire/Fighting,60,85,60,85,60,55,Blaze : Powers up Fire-type moves in a pinch./Speed-boost : Its Speed stat is gradually boosted.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/257.png">,#257,Blaziken,Fire/Fighting,80,120,70,110,70,80,Blaze : Powers up Fire-type moves in a pinch./Speed-boost : Its Speed stat is gradually boosted.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/258.png">,#258,Mudkip,Water,50,70,50,50,50,40,Torrent : Powers up Water-type moves in a pinch./Damp : Prevents the use of self-destructing moves.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/259.png">,#259,Marshtomp,Water/Ground,70,85,70,60,70,50,Torrent : Powers up Water-type moves in a pinch./Damp : Prevents the use of self-destructing moves.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/260.png">,#260,Swampert,Water/Ground,100,110,90,85,90,60,Torrent : Powers up Water-type moves in a pinch./Damp : Prevents the use of self-destructing moves.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/261.png">,#261,Poochyena,Dark,35,55,35,30,30,35,Run-away : Enables a sure getaway from wild Pokemon./Quick-feet : Boosts Speed if there is a status problem./Rattled : Some move types scare it and boost its Speed.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/262.png">,#262,Mightyena,Dark,70,90,70,60,60,70,Intimidate : Lowers the foe's Attack stat./Quick-feet : Boosts Speed if there is a status problem./Moxie : Boosts Attack after knocking out any Pokemon.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/263.png">,#263,Zigzagoon,Normal,38,30,41,30,41,60,Pickup : The Pokemon may pick up items./Gluttony : Encourages the early use of a held Berry./Quick-feet : Boosts Speed if there is a status problem.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/264.png">,#264,Linoone,Normal,78,70,61,50,61,100,Pickup : The Pokemon may pick up items./Gluttony : Encourages the early use of a held Berry./Quick-feet : Boosts Speed if there is a status problem.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/265.png">,#265,Wurmple,Bug,45,45,35,20,30,20,Shield-dust : Blocks the added effects of attacks taken./Run-away : Enables a sure getaway from wild Pokemon.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/266.png">,#266,Silcoon,Bug,50,35,55,25,25,15,Shed-skin : The Pokemon may heal its own status problems./Shed-skin : The Pokemon may heal its own status problems.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/267.png">,#267,Beautifly,Bug/Flying,60,70,50,90,50,65,Swarm : Powers up Bug-type moves in a pinch./Rivalry : Deals more damage to a Pokemon of same gender.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/268.png">,#268,Cascoon,Bug,50,35,55,25,25,15,Shed-skin : The Pokemon may heal its own status problems./Shed-skin : The Pokemon may heal its own status problems.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/269.png">,#269,Dustox,Bug/Poison,60,50,70,50,90,65,Shield-dust : Blocks the added effects of attacks taken./Compoundeyes : The Pokemon's accuracy is boosted.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/270.png">,#270,Lotad,Water/Grass,40,30,30,40,50,30,Swift-swim : Boosts the Pokemon's Speed in rain./Rain-dish : The Pokemon gradually regains HP in rain./Own-tempo : Prevents the Pokemon from becoming confused.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/271.png">,#271,Lombre,Water/Grass,60,50,50,60,70,50,Swift-swim : Boosts the Pokemon's Speed in rain./Rain-dish : The Pokemon gradually regains HP in rain./Own-tempo : Prevents the Pokemon from becoming confused.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/272.png">,#272,Ludicolo,Water/Grass,80,70,70,90,100,70,Swift-swim : Boosts the Pokemon's Speed in rain./Rain-dish : The Pokemon gradually regains HP in rain./Own-tempo : Prevents the Pokemon from becoming confused.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/273.png">,#273,Seedot,Grass,40,40,50,30,30,30,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Early-bird : The Pokemon awakens quickly from sleep./Pickpocket : Steals an item when hit by another Pokemon.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/274.png">,#274,Nuzleaf,Grass/Dark,70,70,40,60,40,60,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Early-bird : The Pokemon awakens quickly from sleep./Pickpocket : Steals an item when hit by another Pokemon.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/275.png">,#275,Shiftry,Grass/Dark,90,100,60,90,60,80,Chlorophyll : Boosts the Pokemon's Speed in sunshine./Early-bird : The Pokemon awakens quickly from sleep./Pickpocket : Steals an item when hit by another Pokemon.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/276.png">,#276,Taillow,Normal/Flying,40,55,30,30,30,85,Guts : Boosts Attack if there is a status problem./Scrappy : Enables moves to hit Ghost-type Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/277.png">,#277,Swellow,Normal/Flying,60,85,60,50,50,125,Guts : Boosts Attack if there is a status problem./Scrappy : Enables moves to hit Ghost-type Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/278.png">,#278,Wingull,Water/Flying,40,30,30,55,30,85,Keen-eye : Prevents other Pokemon from lowering accuracy./Rain-dish : The Pokemon gradually regains HP in rain.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/279.png">,#279,Pelipper,Water/Flying,60,50,100,85,70,65,Keen-eye : Prevents other Pokemon from lowering accuracy./Rain-dish : The Pokemon gradually regains HP in rain.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/280.png">,#280,Ralts,Psychic,28,25,25,45,35,40,Synchronize : Passes a burn./Trace : The Pokemon copies a foe's Ability./Telepathy : Anticipates an ally's attack and dodges it.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/281.png">,#281,Kirlia,Psychic,38,35,35,65,55,50,Synchronize : Passes a burn./Trace : The Pokemon copies a foe's Ability./Telepathy : Anticipates an ally's attack and dodges it.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/282.png">,#282,Gardevoir,Psychic,68,65,65,125,115,80,Synchronize : Passes a burn./Trace : The Pokemon copies a foe's Ability./Telepathy : Anticipates an ally's attack and dodges it.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/283.png">,#283,Surskit,Bug/Water,40,30,32,50,52,65,Swift-swim : Boosts the Pokemon's Speed in rain./Rain-dish : The Pokemon gradually regains HP in rain.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/284.png">,#284,Masquerain,Bug/Flying,70,60,62,80,82,60,Intimidate : Lowers the foe's Attack stat./Unnerve : Makes the foe nervous and unable to eat Berries.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/285.png">,#285,Shroomish,Grass,60,40,60,40,60,35,Effect-spore : Contact may poison or cause paralysis or sleep./Poison-heal : Restores HP if the Pokemon is poisoned./Quick-feet : Boosts Speed if there is a status problem.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/286.png">,#286,Breloom,Grass/Fighting,60,130,80,60,60,70,Effect-spore : Contact may poison or cause paralysis or sleep./Poison-heal : Restores HP if the Pokemon is poisoned./Technician : Powers up the Pokemon's weaker moves.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/287.png">,#287,Slakoth,Normal,60,60,60,35,35,30,Truant : Pokemon can't attack on consecutive turns.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/288.png">,#288,Vigoroth,Normal,80,80,80,55,55,90,Vital-spirit : Prevents the Pokemon from falling asleep.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/289.png">,#289,Slaking,Normal,150,160,100,95,65,100,Truant : Pokemon can't attack on consecutive turns.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/290.png">,#290,Nincada,Bug/Ground,31,45,90,30,30,40,Compoundeyes : The Pokemon's accuracy is boosted./Run-away : Enables a sure getaway from wild Pokemon.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/291.png">,#291,Ninjask,Bug/Flying,61,90,45,50,50,160,Speed-boost : Its Speed stat is gradually boosted./Infiltrator : Passes through the foe's barrier and strikes.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/292.png">,#292,Shedinja,Bug/Ghost,1,90,45,30,30,40,Wonder-guard : Only supereffective moves will hit./Wonder-guard : Only supereffective moves will hit.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/293.png">,#293,Whismur,Normal,64,51,23,51,23,28,Soundproof : Gives full immunity to all sound-based moves./Rattled : Some move types scare it and boost its Speed.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/294.png">,#294,Loudred,Normal,84,71,43,71,43,48,Soundproof : Gives full immunity to all sound-based moves./Scrappy : Enables moves to hit Ghost-type Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/295.png">,#295,Exploud,Normal,104,91,63,91,63,68,Soundproof : Gives full immunity to all sound-based moves./Scrappy : Enables moves to hit Ghost-type Pokemon.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/296.png">,#296,Makuhita,Fighting,72,60,30,20,30,25,Thick-fat : Ups resistance to Fire- and Ice-type moves./Guts : Boosts Attack if there is a status problem./Sheer-force : Removes added effects to increase move damage.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/297.png">,#297,Hariyama,Fighting,144,120,60,40,60,50,Thick-fat : Ups resistance to Fire- and Ice-type moves./Guts : Boosts Attack if there is a status problem./Sheer-force : Removes added effects to increase move damage.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/298.png">,#298,Azurill,Normal,50,20,40,20,40,20,Thick-fat : Ups resistance to Fire- and Ice-type moves./Huge-power : Raises the Pokemon's Attack stat./Sap-sipper : Boosts Attack when hit by a Grass-type move.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/299.png">,#299,Nosepass,Rock,30,45,135,45,90,30,Sturdy : It cannot be knocked out with one hit./Magnet-pull : Prevents Steel-type Pokemon from escaping./Sand-force : Boosts certain moves' power in a sandstorm.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/300.png">,#300,Skitty,Normal,50,45,45,35,35,50,Cute-charm : Contact with the Pokemon may cause infatuation./Normalize : All the Pokemon's moves become the Normal type./Wonder-skin : Makes status-changing moves more likely to miss.,Pink
<img src = "http://www.serebii.net/blackwhite/pokemon/301.png">,#301,Delcatty,Normal,70,65,65,55,55,70,Cute-charm : Contact with the Pokemon may cause infatuation./Normalize : All the Pokemon's moves become the Normal type./Wonder-skin : Makes status-changing moves more likely to miss.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/302.png">,#302,Sableye,Dark/Ghost,50,75,75,65,65,50,Keen-eye : Prevents other Pokemon from lowering accuracy./Stall : The Pokemon moves after all other Pokemon do./Prankster : Gives priority to a status move.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/303.png">,#303,Mawile,Steel,50,85,85,55,55,50,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Intimidate : Lowers the foe's Attack stat./Sheer-force : Removes added effects to increase move damage.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/304.png">,#304,Aron,Steel/Rock,50,70,100,40,40,30,Sturdy : It cannot be knocked out with one hit./Rock-head : Protects the Pokemon from recoil damage./Heavy-metal : Doubles the Pokemon's weight.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/305.png">,#305,Lairon,Steel/Rock,60,90,140,50,50,40,Sturdy : It cannot be knocked out with one hit./Rock-head : Protects the Pokemon from recoil damage./Heavy-metal : Doubles the Pokemon's weight.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/306.png">,#306,Aggron,Steel/Rock,70,110,180,60,60,50,Sturdy : It cannot be knocked out with one hit./Rock-head : Protects the Pokemon from recoil damage./Heavy-metal : Doubles the Pokemon's weight.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/307.png">,#307,Meditite,Fighting/Psychic,30,40,55,40,55,60,Pure-power : Raises the Pokemon's Attack stat./Telepathy : Anticipates an ally's attack and dodges it.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/308.png">,#308,Medicham,Fighting/Psychic,60,60,75,60,75,80,Pure-power : Raises the Pokemon's Attack stat./Telepathy : Anticipates an ally's attack and dodges it.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/309.png">,#309,Electrike,Electric,40,45,40,65,40,65,Static : Contact with the Pokemon may cause paralysis./Lightningrod : Draws in all Electric-type moves to up Sp. Attack./Minus : Ups Sp. Atk if another Pokemon has Plus or Minus.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/310.png">,#310,Manectric,Electric,70,75,60,105,60,105,Static : Contact with the Pokemon may cause paralysis./Lightningrod : Draws in all Electric-type moves to up Sp. Attack./Minus : Ups Sp. Atk if another Pokemon has Plus or Minus.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/311.png">,#311,Plusle,Electric,60,50,40,85,75,95,Plus : Ups Sp. Atk if another Pokemon has Plus or Minus.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/312.png">,#312,Minun,Electric,60,40,50,75,85,95,Minus : Ups Sp. Atk if another Pokemon has Plus or Minus.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/313.png">,#313,Volbeat,Bug,65,73,55,47,75,85,Illuminate : Raises the likelihood of meeting wild Pokemon./Swarm : Powers up Bug-type moves in a pinch./Prankster : Gives priority to a status move.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/314.png">,#314,Illumise,Bug,65,47,55,73,75,85,Oblivious : Prevents it from becoming infatuated./Tinted-lens : Powers up not very effective moves./Prankster : Gives priority to a status move.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/315.png">,#315,Roselia,Grass/Poison,50,60,45,100,80,65,Natural-cure : All status problems heal when it switches out./Poison-point : Contact with the Pokemon may poison the attacker./Leaf-guard : Prevents problems with status in sunny weather.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/316.png">,#316,Gulpin,Poison,70,43,53,43,53,40,Liquid-ooze : Damages attackers using any draining move./Sticky-hold : Protects the Pokemon from item theft./Gluttony : Encourages the early use of a held Berry.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/317.png">,#317,Swalot,Poison,100,73,83,73,83,55,Liquid-ooze : Damages attackers using any draining move./Sticky-hold : Protects the Pokemon from item theft./Gluttony : Encourages the early use of a held Berry.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/318.png">,#318,Carvanha,Water/Dark,45,90,20,65,20,65,Rough-skin : Inflicts damage to the attacker on contact./Speed-boost : Its Speed stat is gradually boosted.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/319.png">,#319,Sharpedo,Water/Dark,70,120,40,95,40,95,Rough-skin : Inflicts damage to the attacker on contact./Speed-boost : Its Speed stat is gradually boosted.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/320.png">,#320,Wailmer,Water,130,70,35,70,35,60,Water-veil : Prevents the Pokemon from getting a burn./Oblivious : Prevents it from becoming infatuated./Pressure : The Pokemon raises the foe's PP usage.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/321.png">,#321,Wailord,Water,170,90,45,90,45,60,Water-veil : Prevents the Pokemon from getting a burn./Oblivious : Prevents it from becoming infatuated./Pressure : The Pokemon raises the foe's PP usage.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/322.png">,#322,Numel,Fire/Ground,60,60,40,65,45,35,Oblivious : Prevents it from becoming infatuated./Simple : The Pokemon is prone to wild stat changes./Own-tempo : Prevents the Pokemon from becoming confused.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/323.png">,#323,Camerupt,Fire/Ground,70,100,70,105,75,40,Magma-armor : Prevents the Pokemon from becoming frozen./Solid-rock : Reduces damage from supereffective attacks./Anger-point : Maxes Attack after taking a critical hit.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/324.png">,#324,Torkoal,Fire,70,85,140,85,70,20,White-smoke : Prevents other Pokemon from lowering its stats./Shell-armor : The Pokemon is protected against critical hits.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/325.png">,#325,Spoink,Psychic,60,25,35,70,80,60,Thick-fat : Ups resistance to Fire- and Ice-type moves./Own-tempo : Prevents the Pokemon from becoming confused./Gluttony : Encourages the early use of a held Berry.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/326.png">,#326,Grumpig,Psychic,80,45,65,90,110,80,Thick-fat : Ups resistance to Fire- and Ice-type moves./Own-tempo : Prevents the Pokemon from becoming confused./Gluttony : Encourages the early use of a held Berry.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/327.png">,#327,Spinda,Normal,60,60,60,60,60,60,Own-tempo : Prevents the Pokemon from becoming confused./Tangled-feet : Raises evasion if the Pokemon is confused./Contrary : Makes stat changes have an opposite effect.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/328.png">,#328,Trapinch,Ground,45,100,45,45,45,10,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Arena-trap : Prevents the foe from fleeing./Sheer-force : Removes added effects to increase move damage.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/329.png">,#329,Vibrava,Ground/Dragon,50,70,50,50,50,70,Levitate : Gives full immunity to all Ground-type moves./Levitate : Gives full immunity to all Ground-type moves./Levitate : Gives full immunity to all Ground-type moves.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/330.png">,#330,Flygon,Ground/Dragon,80,100,80,80,80,100,Levitate : Gives full immunity to all Ground-type moves./Levitate : Gives full immunity to all Ground-type moves./Levitate : Gives full immunity to all Ground-type moves.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/331.png">,#331,Cacnea,Grass,50,85,40,85,40,35,Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Water-absorb : Restores HP if hit by a Water-type move.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/332.png">,#332,Cacturne,Grass/Dark,70,115,60,115,60,55,Sand-veil : Boosts the Pokemon's evasion in a sandstorm./Water-absorb : Restores HP if hit by a Water-type move.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/333.png">,#333,Swablu,Normal/Flying,45,40,60,40,75,50,Natural-cure : All status problems heal when it switches out./Cloud-nine : Eliminates the effects of weather.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/334.png">,#334,Altaria,Dragon/Flying,75,70,90,70,105,80,Natural-cure : All status problems heal when it switches out./Cloud-nine : Eliminates the effects of weather.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/335.png">,#335,Zangoose,Normal,73,115,60,60,60,90,Immunity : Prevents the Pokemon from getting poisoned./Toxic-boost : Powers up physical attacks when poisoned.,White
<img src = "http://www.serebii.net/blackwhite/pokemon/336.png">,#336,Seviper,Poison,73,100,60,100,60,65,Shed-skin : The Pokemon may heal its own status problems./Infiltrator : Passes through the foe's barrier and strikes.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/337.png">,#337,Lunatone,Rock/Psychic,70,55,65,95,85,70,Levitate : Gives full immunity to all Ground-type moves.,Yellow
<img src = "http://www.serebii.net/blackwhite/pokemon/338.png">,#338,Solrock,Rock/Psychic,70,95,85,55,65,70,Levitate : Gives full immunity to all Ground-type moves.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/339.png">,#339,Barboach,Water/Ground,50,48,43,46,41,60,Oblivious : Prevents it from becoming infatuated./Anticipation : Senses a foe's dangerous moves./Hydration : Heals status problems if it is raining.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/340.png">,#340,Whiscash,Water/Ground,110,78,73,76,71,60,Oblivious : Prevents it from becoming infatuated./Anticipation : Senses a foe's dangerous moves./Hydration : Heals status problems if it is raining.,Blue
<img src = "http://www.serebii.net/blackwhite/pokemon/341.png">,#341,Corphish,Water,43,80,65,50,35,35,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Shell-armor : The Pokemon is protected against critical hits./Adaptability : Powers up moves of the same type.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/342.png">,#342,Crawdaunt,Water/Dark,63,120,85,90,55,55,Hyper-cutter : Prevents other Pokemon from lowering Attack stat./Shell-armor : The Pokemon is protected against critical hits./Adaptability : Powers up moves of the same type.,Red
<img src = "http://www.serebii.net/blackwhite/pokemon/343.png">,#343,Baltoy,Ground/Psychic,40,40,55,40,70,55,Levitate : Gives full immunity to all Ground-type moves.,Brown
<img src = "http://www.serebii.net/blackwhite/pokemon/344.png">,#344,Claydol,Ground/Psychic,60,70,105,70,120,75,Levitate : Gives full immunity to all Ground-type moves.,Black
<img src = "http://www.serebii.net/blackwhite/pokemon/345.png">,#345,Lileep,Rock/Grass,66,41,77,61,87,23,Suction-cups : Negates all moves that force switching out./Storm-drain : Draws in all Water-type moves to up Sp. Attack.,Purple
<img src = "http://www.serebii.net/blackwhite/pokemon/346.png">,#346,Cradily,Rock/Grass,86,81,97,81,107,43,Suction-cups : Negates all moves that force switching out./Storm-drain : Draws in all Water-type moves to up Sp. Attack.,Green
<img src = "http://www.serebii.net/blackwhite/pokemon/347.png">,#347,Anorith,Rock/Bug,45,95,50,40,50,75,Battle-armor : The Pokemon is protected against critical hits./Swift-swim : Boosts the Pokemon's Speed in rain.,Gray
<img src = "http://www.serebii.net/blackwhite/pokemon/348.png">,#348,Armaldo,Rock/Bug,75,125,100,70,80,45,Battle-armor : The Pokemon is protected against critical hits./Swift-swim : Boosts the Pokemon's Speed in rain.,Gray
